filename, language, Markdown, Dart, Properties, YAML, Groovy, C++, Objective-C, Shell Script, Ruby, XML, JSON, Java, comment, blank, total
/Users/matt/flutter/mem_plus_plus/lib/components/pao/pao_data.dart, Dart, 0, 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 344
/Users/matt/flutter/mem_plus_plus/lib/components/pao/pao_multiple_choice_card.dart, Dart, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 253
/Users/matt/flutter/mem_plus_plus/lib/components/single_digit/single_digit_data.dart, Dart, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
/Users/matt/flutter/mem_plus_plus/lib/components/single_digit/single_digit_multiple_choice_card.dart, Dart, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 227
/Users/matt/flutter/mem_plus_plus/lib/components/standard.dart, Dart, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 213
/Users/matt/flutter/mem_plus_plus/lib/components/templates/edit_card.dart, Dart, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 300
/Users/matt/flutter/mem_plus_plus/lib/components/templates/flash_card.dart, Dart, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 297
/Users/matt/flutter/mem_plus_plus/lib/constants/colors.dart, Dart, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
/Users/matt/flutter/mem_plus_plus/lib/constants/keys.dart, Dart, 0, 1619, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 1647
/Users/matt/flutter/mem_plus_plus/lib/main.dart, Dart, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 76
/Users/matt/flutter/mem_plus_plus/lib/screens/alphabet/alphabet_edit_screen.dart, Dart, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 142
/Users/matt/flutter/mem_plus_plus/lib/screens/alphabet/alphabet_practice_screen.dart, Dart, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 142
/Users/matt/flutter/mem_plus_plus/lib/screens/alphabet/alphabet_timed_test_prep_screen.dart, Dart, 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 342
/Users/matt/flutter/mem_plus_plus/lib/screens/alphabet/alphabet_timed_test_screen.dart, Dart, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 261
/Users/matt/flutter/mem_plus_plus/lib/screens/alphabet/alphabet_written_test_screen.dart, Dart, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 158
/Users/matt/flutter/mem_plus_plus/lib/screens/custom_memory/custom_memory_manager_screen.dart, Dart, 0, 528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 561
/Users/matt/flutter/mem_plus_plus/lib/screens/custom_memory/custom_memory_test_screen.dart, Dart, 0, 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 446
/Users/matt/flutter/mem_plus_plus/lib/screens/deck/deck_edit_screen.dart, Dart, 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 332
/Users/matt/flutter/mem_plus_plus/lib/screens/deck/deck_multiple_choice_test_screen.dart, Dart, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 158
/Users/matt/flutter/mem_plus_plus/lib/screens/deck/deck_practice_screen.dart, Dart, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 145
/Users/matt/flutter/mem_plus_plus/lib/screens/deck/deck_timed_test_prep_screen.dart, Dart, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 353
/Users/matt/flutter/mem_plus_plus/lib/screens/deck/deck_timed_test_screen.dart, Dart, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 355
/Users/matt/flutter/mem_plus_plus/lib/screens/face/face_timed_test_prep_screen.dart, Dart, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 243
/Users/matt/flutter/mem_plus_plus/lib/screens/face/face_timed_test_screen.dart, Dart, 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 313
/Users/matt/flutter/mem_plus_plus/lib/screens/homepage.dart, Dart, 0, 605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 40, 707
